Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
47806,"Children,Family,Medical",90,3
47807,"Children,Family,Medical",16.5,3
47808,"Children,Family,Medical",600,3
47809,"Children,Family,Medical",600,3
47810,Individual,110,1
47811,"Children,Family,Medical",136.5,6
47812,"Children,Family,Medical",16.5,3
47813,"Children,Family,Medical",33,3
47814,"Children,Family,Medical",648,3
47815,"Children,Family,Medical",300,3
47816,"Charities,Elderly,Fundraising,Lights for Hope,Medical,Persons with disabilities,Ray of Hope 10th Anniversary,Thematic Campaign",6976,48
47817,"Children,Family,Medical",66,3
47818,"Children,Family,Medical",150,3
47819,"Children,Family,Medical",66,3
47820,"Children,Family,Medical",99,3
47821,"Children,Family,Medical",150,3
47822,"Mental Health,Youths",400,2
47823,"Children,Family,Medical",330,3
47824,"Children,Family,Medical",132,6
47825,"Children,Family,Medical",450,6
47826,"Children,Youths",22,2
47827,"Children,Family,Medical",150,3
47828,"Children,Family,Medical",1059,21
47829,"Children,Family,Medical",600,6
47830,"Children,Family,Medical",150,3
47831,"Children,Family,Medical",105,6
47832,"Children,Family,Medical",955.5,9
47833,"Children,Family,Medical",150,3
47834,"Children,Family,Medical",90,3
47835,"Children,Family,Medical",330,3
47836,"Children,Family,Medical",82.5,3
47837,"Children,Family,Medical",660,6
47838,"Children,Family,Medical",66,6
47839,"Children,Family,Medical",165,3
47840,"Children,Family,Medical",150,3
47841,"Children,Family,Medical",23.1,3
47842,"Children,Family,Medical",948,6
47843,"Children,Family,Medical",210,6
47844,"Children,Family,Medical",60,3
47845,"Children,Family,Medical",135,6
47846,"Children,Family,Medical",132,3
47847,"Children,Family,Medical",3330,12
47848,"Children,Family,Medical",150,3
47849,"Children,Family,Medical",300,3
47850,"Children,Family,Medical",99,3
47851,"Children,Family,Medical",90,3
47852,"Children,Family,Medical",150,3
47853,"Children,Family,Medical",30,3
47854,"Children,Family,Medical",82.5,3
47855,"Children,Family,Medical",1620,3
47856,"Children,Family,Medical",66,3
47857,"Children,Family,Medical",33,3
47858,"Children,Family,Medical",480,9
47859,"Children,Family,Medical",30,3
47860,"Children,Family,Medical",78.75,3
47861,"Children,Family,Medical",600,3
47862,"Children,Family,Medical",75,3
47863,"Children,Family,Medical",66,3
47864,"Children,Family,Medical",75,3
47865,"Children,Family,Medical",150,3
47866,"Children,Family,Medical",330,6
47867,"Children,Family,Medical",300,3
47868,"Children,Family,Medical",330,3
47869,"Children,Family,Medical",600,6
47870,"Children,Family,Medical",120,3
47871,"Children,Family,Medical",165,3
47872,"Children,Family,Medical",1296,6
47873,"Children,Family,Medical",66,3
47874,"Children,Family,Medical",330,3
47875,"Children,Family,Medical",165,3
47876,"Children,Family,Medical",89.1,3
47877,"Children,Family,Medical",300,3
47878,"Children,Family,Medical",900,3
47879,"Children,Family,Medical",82.5,3
47880,"Children,Family,Medical",300,3
47881,"Children,Family,Medical",66,3
47882,"Children,Family,Medical",60,3
47883,"Children,Family,Medical",330,6
47884,"Children,Family,Medical",330,3
47885,Persons with disabilities,110,1
47886,"Children,Family,Medical",99,3
47887,"Children,Family,Medical",60,3
47888,"Children,Family,Medical",150,3
47889,"Children,Family,Medical",99,3
47890,"Children,Family,Medical",60,3
47891,"Children,Family,Medical",165,3
47892,"Children,Family,Medical",165,3
47893,"Children,Family,Medical",165,3
47894,"Children,Family,Medical",165,3
47895,"Children,Family,Medical",315,6
47896,"Children,Family,Medical",330,3
47897,"Children,Family,Medical",60,3
47898,"Children,Family,Medical",3000,3
47899,"Children,Family,Medical",60,3
47900,"Children,Family,Medical",66,3
47901,"Children,Family,Medical",105,6
47902,"Children,Family,Medical",60,3
47903,"Children,Family,Medical",165,3
47904,"Children,Family,Medical",82.5,3
47905,"Children,Family,Medical",165,3
47906,"Children,Family,Medical",66,3
47907,"Children,Family,Medical",600,3
47908,"Children,Family,Medical",240,3
47909,"Children,Family,Medical",150,3
47910,"Children,Family,Medical",66,3
47911,"Children,Family,Medical",396,6
47912,"Children,Family,Medical",330,3
47913,"Children,Family,Medical",1500,9
47914,"Children,Family,Medical",63,3
47915,"Children,Family,Medical",330,3
47916,"Children,Family,Medical",75,3
47917,"Children,Family,Medical",16.5,3
47918,"Children,Family,Medical",150,3
47919,"Children,Family,Medical",60,3
47920,"Children,Family,Medical",150,3
47921,"Children,Family,Medical",157.5,3
47922,"Children,Family,Medical",150,3
47923,"Children,Family,Medical",30,3
47924,"Children,Family,Medical",60,3
47925,"Children,Family,Medical",150,3
47926,"Children,Family,Medical",150,3
47927,"Children,Family,Medical",600,3
47928,Family,4.4,1
47929,"Children,Family,Medical",165,3
47930,"Children,Family,Medical",30,3
47931,"Children,Family,Medical",225,6
47932,"Children,Family,Medical",300,6
47933,Elderly,300,1
47934,"Children,Family,Medical",24,3
47935,"Children,Family,Medical",7536,12
47936,"Children,Family,Medical",228.75,6
47937,"Children,Family,Medical",165,3
47938,"Children,Family,Medical",5556,12
47939,"Children,Family,Medical",165,3
47940,"Children,Family,Medical",90,3
47941,"Children,Family,Medical",165,3
47942,"Children,Family,Medical",315,6
47943,"Children,Family,Medical",600,3
47944,"Children,Family,Medical",132,9
47945,"Children,Family,Medical",6420,9
47946,"Children,Family,Medical",75,3
47947,"Children,Family,Medical",66,3
47948,"Children,Family,Medical",450,3
47949,"Children,Family,Medical",1296,6
47950,"Children,Family,Medical",16.5,3
47951,"Children,Family,Medical",300,3
47952,"Children,Family,Medical",33,3
47953,"Children,Family,Medical",165,3
47954,"Children,Family,Medical",300,3
47955,"Children,Family,Medical",30,3
47956,"Children,Family,Medical",300,3
47957,"Children,Family,Medical",4500,6
47958,"Children,Family,Medical",315,3
47959,"Children,Family,Medical",300,3
47960,"Children,Family,Medical",150,3
47961,"Children,Family,Medical",30,3
47962,"Children,Family,Medical",82.5,3
47963,"Children,Family,Medical",150,3
47964,"Children,Family,Medical",165,3
47965,"Children,Family,Medical",150,3
47966,Persons with disabilities,50,1
47967,"Children,Family,Medical",165,3
47968,"Children,Family,Medical",150,3
47969,"Children,Family,Medical",450,3
47970,"Children,Family,Medical",60,3
47971,"Children,Family,Medical",30,3
47972,"Children,Family,Medical",648,3
47973,"Children,Family,Medical",33,3
47974,"Children,Family,Medical",330,3
47975,"Children,Family,Medical",150,3
47976,"Children,Family,Medical",115.5,6
47977,"ADHD,Children,Family,Medical,Migrant Workers,Single Parents",2376,36
47978,"ADHD,Migrant Workers",132,2
47979,"Children,Family,Medical",165,3
47980,"Children,Family,Medical",298.5,6
47981,"Children,Family,Medical",330,3
47982,"Children,Family,Medical",82.5,3
47983,"Children,Family,Medical",33,3
47984,"Children,Family,Medical",796.5,6
47985,"Children,Family,Medical",99,3
47986,"Children,Family,Medical",60,3
47987,"Children,Family,Medical",90,3
47988,"Children,Family,Medical",150,3
47989,"Children,Family,Medical",330,3
47990,"Children,Family,Medical",15,3
47991,"Children,Family,Medical",501.6,9
47992,"Children,Family,Medical",150,3
47993,"Children,Family,Medical",165,3
47994,"Children,Family,Medical",15,3
47995,"Children,Family,Medical",60,3
47996,"Children,Family,Medical",42.9,3
47997,"Children,Family,Medical",13.2,3
47998,"Children,Family,Medical",210,6
47999,"Children,Family,Medical",300,3
48000,"Children,Family,Medical",330,3
48001,"Children,Family,Medical",99,3
48002,"Children,Family,Medical",129.3,6
48003,"Children,Family,Medical",60,3
48004,"Children,Family,Medical",600,3
48005,"Children,Family,Medical",3.3,3
48006,"Children,Family,Medical",49.5,6
48007,"Children,Family,Medical",150,3
48008,"Children,Family,Medical",132,6
48009,"Children,Family,Medical",1050,3
48010,"Children,Family,Medical",126,6
48011,"Children,Family,Medical",165,3
48012,"Children,Family,Medical",165,3
48013,"Children,Family,Medical",330,3
48014,"Children,Family,Medical",150,3
48015,"Children,Family,Medical",1248,9
48016,"Children,Family,Medical",150,3
48017,Persons with disabilities,162.5,1
48018,"Children,Family,Medical",165,3
48019,"Children,Family,Medical",30,3
48020,"Children,Family,Medical",3030,6
48021,"Children,Family,Medical",12,3
48022,"Children,Family,Medical",54,3
48023,"Children,Family,Medical",49.5,3
48024,"Children,Family,Medical",480,6
48025,"Children,Family,Medical",165,3
48026,"Children,Family,Medical",900,3
48027,"Children,Family,Medical",150,3
48028,"Children,Family,Medical",165,3
48029,"Children,Family,Medical",300,3
48030,"Children,Family,Medical",150,3
48031,"Children,Family,Medical",150,3
48032,"Children,Family,Medical",150,3
48033,"Children,Family,Medical",60,3
48034,"Children,Family,Medical",330,3
48035,"Children,Family,Medical",150,3
48036,"Children,Family,Medical",150,3
48037,"Children,Family,Medical",300,3
48038,"Children,Family,Medical",150,3
48039,Individual,55,1
48040,"Children,Family,Medical",60,3
48041,"Children,Family,Medical",165,3
48042,"Children,Family,Medical",90,3
48043,"Children,Family,Medical",115.5,3
48044,"An Evening in December,Raya For Hope,Thematic Campaign",1988.88,6
48045,"Children,Family,Medical",90,3
48046,"Children,Family,Medical",165,3
48047,"Children,Family,Medical",150,3
48048,"Children,Family,Medical",300,3
48049,"Children,Family,Medical",150,3
48050,"Children,Family,Medical",165,3
48051,"Children,Family,Medical",315,6
48052,"Children,Family,Medical",300,3
48053,"Elderly,Special Needs",251.6,6
48054,"Children,Family,Medical",330,6
48055,"Children,Family,Medical",660,3
48056,"Children,Family,Medical",165,3
48057,"Children,Family,Medical",165,3
48058,Children,300,1
48059,"Children,Family,Medical",150,3
48060,"Children,Family,Medical",165,3
48061,"Children,Family,Medical",1500,3
48062,"Children,Family,Medical",165,3
48063,"Children,Family,Medical",577.5,6
48064,"Children,Family,Medical",30,3
48065,"Children,Family,Medical",300,3
48066,"Children,Family,Medical",150,3
48067,"Children,Family,Medical",600,6
48068,"Children,Family,Medical",30,3
48069,"Children,Family,Medical",150,3
48070,"Children,Family,Medical",105,3
48071,"Children,Family,Medical",16.5,3
48072,"Children,Family,Medical",15,3
48073,"Children,Family,Medical",150,3
48074,"Children,Family,Medical",150,3
48075,"Children,Family,Medical",82.5,3
48076,"Children,Family,Medical",165,3
48077,"Children,Family,Medical",165,3
48078,"Children,Family,Medical",165,3
48079,"Children,Family,Medical",315,6
48080,"Children,Family,Medical",300,3
48081,"Children,Family,Medical",150,3
48082,"Children,GIC",432,2
48083,"Children,Family,Medical",330,3
48084,"Children,Family,Medical",7248,18
48085,"Children,Family,Medical",165,3
48086,"Children,GIC",44,2
48087,"Children,Family,Medical",330,6
48088,"Children,Family,Medical",930,9
48089,"Children,Family,Medical",4965,15
48090,Individual,500,1
48091,"Children,Family,Medical",270,6
48092,"Children,Family,Medical",75,3
48093,"Children,Family,Medical",60,3
48094,"Children,Family,Medical",108,6
48095,"Children,Family,Medical",300,3
48096,"Children,Family,Medical",60,3
48097,"Children,Family,Medical",6645,6
48098,"Children,Family,Medical",150,3
48099,"Children,Family,Medical",16.5,3
48100,"Children,Family,Medical",165,3
48101,Individual,200,1
48102,"Children,Family,Medical",150,3
48103,"Children,Family,Medical",330,3
48104,"Children,Family,Medical",300,3
48105,"Children,Family,Medical",30,3
48106,"Children,Family,Medical",150,3
48107,"Children,Family,Medical",3000,3
48108,"Children,Family,Medical",165,3
48109,"Children,Family,Medical",399,6
48110,"Children,Family,Medical",330,3
48111,"Children,Family,Medical",153,3
48112,"Children,Family,Medical",495,3
48113,"Children,Family,Medical",300,3
48114,"Children,Family,Medical",300,3
48115,"Children,Family,Medical",4335,9
48116,"Children,Family,Medical",315,6
48117,"Children,Family,Medical",300,3
48118,"Children,Family,Medical",648,3
48119,"Children,Family,Medical",30,3
48120,"Children,Family,Medical",66,3
48121,"Children,Family,Medical",66,3
48122,"Children,Family,Medical",900,9
48123,"Children,Family,Medical",165,3
48124,"Children,Family,Medical",150,3
48125,"Children,Family,Medical",75,3
48126,"Children,Family,Medical",82.5,3
48127,"Children,Family,Medical",450,3
48128,"Children,Family,Medical",150,3
48129,"Children,Family,Medical",450,3
48130,"Children,Family,Medical",165,3
48131,"Children,Family,Medical",165,3
48132,"Children,Family,Medical",150,3
48133,"Children,Family,Medical",150,3
48134,"Children,Family,Medical",600,6
48135,"Children,Family,Medical",78.75,3
48136,"Children,Family,Medical",648,3
48137,"Children,Family,Medical",514.2,9
48138,"Children,Family,Medical",66,3
48139,"Children,Family,Medical",105,3
48140,"Children,Family,Medical",150,3
48141,"Children,Family,Medical",330,3
48142,"Children,Family,Medical",33,3
48143,"Children,Family,Medical",60,3
48144,"Children,Family,Medical",600,3
48145,"Children,Family,Medical",150,3
48146,"Children,Family,Medical",300,3
48147,"Children,Family,Medical",33,3
48148,"Children,Family,Medical",330,3
48149,"Children,Family,Medical",330,3
48150,"Children,Family,Medical",660,6
48151,"Children,Family,Medical",165,6
48152,"Children,Family,Medical",150,3
48153,"Children,Family,Medical",150,3
48154,"Children,Family,Medical",99,3
48155,"Children,Family,Medical",150,3
48156,"Children,Family,Medical",150,3
48157,"Children,Family,Medical",105,3
48158,"Children,Family,Medical",157.5,3
48159,"Children,Family,Medical",150,3
48160,Individual,110,1
48161,"Children,Family,Medical",30,3
48162,Individual,5400,1
48163,"Children,Family,Medical",300,3
48164,"Children,Family,Medical",1665,12
48165,Individual,200,1
48166,"Children,Family,Medical",330,3
48167,Individual,500,1
48168,"Children,Family,Medical",15,3
48169,"Children,Family,Medical",66,3
48170,"Children,Family,Medical",3000,3
48171,"Children,Family,Medical",495,9
48172,"Children,Family,Medical",330,3
48173,"Children,Family,Medical",165,3
48174,"Children,Family,Medical",150,3
48175,"Children,Family,Medical",165,3
48176,"Children,Family,Medical",648,3
48177,"Children,Family,Medical",3.3,3
48178,"Children,Family,Medical",165,3
48179,"Children,Family,Medical",600,3
48180,"Children,Family,Medical",150,3
48181,"Children,Family,Medical",60,3
48182,"Children,Family,Medical",1800,6
48183,"Children,Family,Medical",60,3
48184,"Children,Family,Medical",165,3
48185,Individual,200,1
48186,"Children,Family,Medical",330,3
48187,"Children,Family,Medical",54,3
48188,"Children,Family,Medical",72,3
48189,"Children,Family,Medical",465,9
48190,"Children,Family,Medical",150,3
48191,"Children,Family,Medical",165,3
48192,"Children,Family,Medical",480,3
48193,"Children,Family,Medical",165,3
48194,"Children,Family,Medical",750,6
48195,"Children,Family,Medical",1800,9
48196,"Children,Family,Medical",33,3
48197,"Children,Family,Medical",165,3
48198,"Children,Family,Medical",165,3
48199,"Children,Family,Medical",66,3
48200,"Children,Family,Medical",165,3
48201,"Children,Family,Medical",930,9
48202,"Children,Family,Medical",30,3
48203,"Children,Family,Medical",3303,9
48204,"Children,Family,Medical",198,3
48205,"Children,Family,Medical",60,3
48206,"Children,Family,Medical",165,3
48207,"Children,Family,Medical",330,6
48208,"Children,Family,Medical",60,3
48209,"Children,Family,Medical",600,6
48210,"Children,Family,Medical",600,3
48211,"Children,Family,Medical",30,3
48212,"Children,Family,Medical",60,3
48213,"Children,Family,Medical",150,3
48214,"Children,Family,Medical",300,3
48215,"Children,Family,Medical",972,3
48216,"Children,Family,Medical",300,3
48217,"Children,Family,Medical",165,3
48218,Individual,610,3
48219,"Children,Family,Medical",165,3
48220,"Children,Family,Medical",150,3
48221,"Children,Family,Medical",150,3
48222,"Children,Family,Medical",165,3
48223,"Children,Family,Medical",66,3
48224,"Children,Family,Medical",300,3
48225,"Children,Family,Medical",60,3
48226,"Children,Family,Medical",495,6
48227,"Children,Family,Medical",648,3
48228,"Children,Family,Medical",300,3
48229,"Children,Family,Medical",600,3
48230,"Children,Family,Medical",150,3
48231,"Children,Family,Medical",150,3
48232,"Children,Family,Medical",600,3
48233,"Children,Family,Medical",66,3
48234,"Children,Family,Medical",150,3
48235,"Children,Family,Medical",300,3
48236,"Children,Family,Medical",330,3
48237,"Children,Family,Medical",33,3
48238,"Children,Family,Medical",33,3
48239,"Children,Family,Medical",2250,9
48240,"Children,Family,Medical",150,3
48241,"Children,Family,Medical",165,3
48242,"Children,Family,Medical",30,3
48243,"Children,Family,Medical",300,3
48244,"Children,Family,Medical",150,3
48245,"Children,Family,Medical",66,3
48246,"Children,Family,Medical",165,3
48247,"Children,Family,Medical",300,3
48248,"Children,Family,Medical",99,3
48249,"Children,Family,Medical",6780,6
48250,"Children,Family,Medical",495,3
48251,"Children,Family,Medical",66,3
48252,"Children,Family,Medical",66,3
48253,"Children,Family,Medical",1200,3
48254,"Children,Family,Medical",90,3
48255,"Children,Family,Medical",150,3
48256,"Children,Family,Medical",15,3
48257,"Children,Family,Medical",60,3
48258,"Children,Family,Medical",165,3
48259,"Children,Family,Medical",75,3
48260,"Children,Family,Medical",132,6
48261,"Children,Family,Medical",150,3
48262,"Children,Family,Medical",165,3
48263,"Children,Family,Medical",150,3
48264,"Children,Family,Medical",1296,6
48265,"Children,Family,Medical",495,6
48266,"Children,Family,Medical",480,9
48267,"Children,Family,Medical",150,3
48268,"Children,Family,Medical",60,3
48269,"Children,Family,Medical",165,3
48270,"Children,Family,Medical",150,3
48271,"Children,Family,Medical",600,3
48272,"Children,Family,Medical",24,3
48273,"Children,Family,Medical",165,3
48274,"Children,Family,Medical",240,6
48275,"Children,Family,Medical",4122,9
48276,"Children,Family,Medical",247.5,6
48277,"Children,Family,Medical",75,3
48278,"Children,Family,Medical",165,3
48279,"Children,Family,Medical",60,3
48280,"Children,Family,Medical",30,3
48281,Individual,110,1
48282,"Children,Family,Medical",165,3
48283,"Children,Family,Medical",165,3
48284,"Children,Family,Medical",60,3
48285,"Children,Family,Medical",300,6
48286,Individual,50,1
48287,"Children,Family,Medical",82.5,3
48288,"Children,Family,Medical",150,3
48289,"Children,Family,Medical",150,3
48290,"Children,Family,Medical",75,3
48291,"Children,Family,Medical",82.5,3
48292,"Children,Family,Medical",165,3
48293,"Children,Family,Medical",150,3
48294,"Children,Family,Medical",165,3
48295,"Children,Family,Medical",60,3
48296,"Children,Family,Medical",66,3
48297,"Children,Family,Medical",66,3
48298,"Children,Family,Medical",330,6
48299,"Children,Family,Medical",33,3
48300,"Children,Family,Medical",30,3
48301,"Children,Family,Medical",33,3
48302,"Children,Family,Medical",30,3
48303,"Children,Family,Medical",150,3
48304,"Children,Family,Medical",30,3
48305,"Children,Family,Medical",60,3
48306,"Children,Family,Medical",60,3
48307,"Children,Family,Medical",648,3
48308,"Children,Family,Medical",30,3
48309,"Children,Family,Medical",165,3
48310,"Children,Family,Medical",30,3
48311,"Children,Family,Medical",66,3
48312,"Children,Family,Medical",90,6
48313,"Children,Family,Medical",150,3
48314,"Children,Family,Medical",247.5,3
48315,"Children,Family,Medical",330,6
48316,"Charities,Elderly",1400,8
48317,"Children,Family,Medical",165,3
48318,"Children,Family,Medical",63,3
48319,"Children,Family,Medical",150,3
48320,"Children,Family,Medical",75,3
48321,"Children,Family,Medical",300,3
48322,"Children,Family,Medical",30,3
48323,"Children,Family,Medical",315,3
48324,"Children,Family,Medical",165,3
48325,"Children,Family,Medical",165,3
48326,"Children,Family,Medical",300,6
48327,"Children,Family,Medical",19.8,3
48328,Children,20,1
48329,"Children,Family,Medical",150,3
48330,"Children,Family,Medical",150,3
48331,"Children,Family,Medical",300,3
48332,"Children,Family,Medical",330,3
48333,"Children,Family,Medical",150,3
48334,"Children,Family,Medical",165,3
48335,"Children,Family,Medical",60,3
48336,"Children,Family,Medical",330,3
48337,"Children,Family,Medical",165,3
48338,"Children,Family,Medical",66,3
48339,"Children,Family,Medical",165,3
48340,"Children,Family,Medical",165,3
48341,"Children,Family,Medical",30,3
48342,"Children,Family,Medical",150,3
48343,"Children,Family,Medical",315,6
48344,"Children,Family,Medical",3000,6
48345,"Children,Family,Medical",300,6
48346,"Children,Family,Medical",150,3
48347,"Children,Family,Medical",150,3
48348,"Children,Family,Medical",90,3
48349,"Children,Family,Medical",1500,3
48350,"Children,Family,Medical",60,3
48351,"Children,Family,Medical",150,3
48352,"Children,Family,Medical",60,3
48353,"Children,Family,Medical",165,3
48354,"Children,Family,Medical",330,3
48355,"Children,Family,Medical",150,3
48356,"Children,Family,Medical",150,3
48357,"Children,Family,Medical",60,3
48358,"Children,Family,Medical",33,3
48359,"Children,Family,Medical",330,3
48360,"Children,Family,Medical",198,6
48361,"Children,Family,Medical",165,3
48362,"Children,Family,Medical",99,3
48363,"Children,Family,Medical",150,3
48364,"Children,Family,Medical",63,6
48365,"Children,Family,Medical",216,6
48366,"Children,Family,Medical",165,3
48367,"Children,Family,Medical",300,6
48368,"Children,Family,Medical",330,3
48369,"Children,Family,Medical",150,3
48370,"Children,Family,Medical",330,3
48371,"Children,Family,Medical",66,3
48372,"Children,Family,Medical",561,3
48373,"Children,Family,Medical",300,3
48374,"Children,Family,Medical",645,6
48375,"Children,Family,Medical",330,3
48376,"Children,Family,Medical",150,3
48377,"Children,Family,Medical",16.5,3
48378,"Children,Family,Medical",60,3
48379,"Children,Family,Medical",150,3
48380,"Children,Family,Medical",150,3
48381,"Children,Family,Medical",600,9
48382,"Children,Family,Medical",30,3
48383,"Children,Family,Medical",66,3
48384,"Children,Family,Medical",60,3
48385,"Children,Family,Medical",60,3
48386,"Children,Family,Medical",82.5,3
48387,"Children,Family,Medical",240,6
48388,"Children,Family,Medical",165,3
48389,"Children,Family,Medical",165,3
48390,"Children,Family,Medical",60,3
48391,"Children,Family,Medical",300,3
48392,"Mental Health,Youths",1080,2
48393,"Children,Family,Medical",150,3
48394,"Children,Family,Medical",82.5,3
48395,"Children,Family,Medical",99,3
48396,"Children,Family,Medical",165,3
48397,"Children,Family,Medical",495,3
48398,"Children,Family,Medical",495,3
48399,"Children,Family,Medical",150,3
48400,"Children,Family,Medical",45,3
48401,"Children,Family,Medical",150,3
48402,"Children,Family,Medical",150,3
48403,"Children,Family,Medical",165,3
48404,"Children,Family,Medical",753,6
48405,"Children,Family,Medical",15,3
48406,"Children,Family,Medical",150,3
48407,"Children,Family,Medical",450,9
48408,"Children,Family,Medical",300,3
48409,"Children,Family,Medical",33,3
48410,"Children,Family,Medical",60,3
48411,"Children,Family,Medical",165,3
48412,"Children,Family,Medical",300,3
48413,"Children,Family,Medical",210,6
48414,"Children,Family,Medical",126,9
48415,"Children,Family,Medical",60,3
48416,"Children,Family,Medical",16.5,3
48417,"Children,Family,Medical",516,6
48418,"Charities,Children",432,2
48419,"Children,Family,Medical",120,3
48420,"Children,Family,Medical",9.9,3
48421,"Children,Family,Medical",330,6
48422,"Children,Family,Medical",600,6
48423,"Children,Family,Medical",33,3
48424,"Children,Family,Medical",150,3
48425,"Children,Family,Medical",45,3
48426,"Children,Family,Medical",300,3
48427,"Children,Family,Medical",27,3
48428,"Children,Family,Medical",330,6
48429,"Children,Family,Medical",201.3,6
48430,"Children,Family,Medical",46.5,6
48431,"Children,Family,Medical",330,3
48432,"Children,Family,Medical",150,3
48433,"Children,Family,Medical",150,3
48434,"Children,Family,Medical",150,3
48435,"Children,Family,Medical",15,3
48436,"Children,Family,Medical",165,3
48437,"Children,Family,Medical",1200,6
48438,"Children,Family,Medical",165,3
48439,"Children,Family,Medical",300,3
48440,"Children,Family,Medical",150,3
48441,"Children,Family,Medical",465,6
48442,"Children,Family,Medical",330,3
48443,"Children,Family,Medical",33,3
48444,"Children,Family,Medical",150,3
48445,"Children,Family,Medical",33,3
48446,"Children,Family,Medical",16.5,3
48447,"Children,Family,Medical",66,3
48448,"Children,Family,Medical",330,3
48449,"Children,Family,Medical",465,9
48450,Migrant Workers,215,2
48451,"Children,Family,Medical",300,3
48452,"Children,Family,Medical",13.2,3
48453,"Children,Family,Medical",6.6,3
48454,"Children,Family,Medical",330,3
48455,"Children,Family,Medical",462,9
48456,"Children,Family,Medical",63,6
48457,"Children,Family,Medical",165,3
48458,"Children,Family,Medical",300,3
48459,"Children,Family,Medical",33,3
48460,"Children,Family,Medical",2148,9
48461,"Children,Family,Medical",23.1,3
48462,"Children,Family,Medical",157.5,3
48463,"Children,Family,Medical",555,12
48464,"Children,Family,Medical",450,3
48465,"Children,Family,Medical",60,3
48466,"Children,Family,Medical",374.91,3
48467,"Children,Family,Medical",60,3
48468,"Children,Family,Medical",165,3
48469,"Children,Family,Medical",66,3
48470,"Children,Family,Medical",165,3
48471,"Children,Family,Medical",30,3
48472,"Children,Family,Medical",330,3
48473,"Children,Family,Medical",150,3
48474,"Children,Family,Medical",9.9,6
48475,"Children,Family,Medical",150,3
48476,"Children,Family,Medical",165,3
48477,"Children,Family,Medical",6.6,3
48478,"Children,Family,Medical",6.6,3
48479,"Children,Family,Medical",300,3
48480,"Children,Family,Medical",35040,33
48481,"Children,Family,Medical",165,3
48482,"Children,Family,Medical",165,3
48483,"Children,Family,Medical",1620,3
48484,"Children,Family,Medical",300,3
48485,"Children,Family,Medical",300,3
48486,"Children,Family,Medical",300,3
48487,"Children,Family,Medical",165,3
48488,"Children,Family,Medical",300,6
48489,"Children,Family,Medical",66,6
48490,"Children,Family,Medical",1500,3
48491,"Children,Family,Medical",132,6
48492,"Children,Family,Medical",90,3
48493,"Children,Family,Medical",165,3
48494,"Children,Family,Medical",300,3
48495,"Children,Family,Medical",33,3
48496,"Children,Family,Medical",33.3,9
48497,"Children,Family,Medical",128.25,6
48498,"Children,Family,Medical",615,12
48499,"Children,Family,Medical",9.9,3
48500,"Children,Family,Medical",330,3
48501,"Children,Family,Medical",15,3
48502,"Children,Family,Medical",99,3
48503,"Children,Family,Medical",75,3
48504,"Children,Family,Medical",8.4,3
48505,"Children,Family,Medical",1750.5,30
48506,"Children,Family,Medical",1350,9
48507,"Children,Family,Medical",150,3
48508,"Children,Family,Medical",72.6,6
48509,"Children,Family,Medical",66,6
48510,"Children,Family,Medical",63,3
48511,"Children,Family,Medical",94.5,3
48512,"Children,Family,Medical",300,6
48513,"Children,Family,Medical",1050,6
48514,"Children,Family,Medical",150,3
48515,"Children,Family,Medical",450,3
48516,"Children,Family,Medical",99,3
48517,"Children,Family,Medical",150,3
48518,"Children,Family,Medical",165,3
48519,"Children,Family,Medical",15,3
48520,"Children,Family,Medical",315,6
48521,"Children,Family,Medical",30,3
48522,"Children,Family,Medical",66,6
48523,Individual,50,1
48524,"Children,Family,Medical",366,6
48525,"Children,Family,Medical",66,3
48526,"Children,Family,Medical",165,3
48527,"Children,Family,Medical,Single Parents",336,16
48528,"Children,Family,Medical",48,3
48529,Individual,55,1
48530,"Children,Family,Medical",150,3
48531,"Children,Family,Medical",66,3
48532,"Children,Family,Medical",157.5,6
48533,"Children,Family,Medical",82.5,3
48534,"Children,Family,Medical",330,3
48535,"Children,Family,Medical",300,3
48536,"Children,Family,Medical",33,3
48537,"Children,Family,Medical",165,3
48538,"Children,Family,Medical",30,3
48539,"Children,Family,Medical",300,3
48540,"Children,Family,Medical",33,3
48541,"Children,Family,Medical",63,3
48542,"Children,Family,Medical",198,3
48543,"Children,Family,Medical",165,3
48544,"Children,Family,Medical",16.5,3
48545,"Children,Family,Medical",150,3
48546,"Children,Family,Medical",16.5,3
48547,"Children,Family,Medical",9720,9
48548,"Children,Family,Medical",60,3
48549,"Children,Family,Medical",66,3
48550,"Children,Family,Medical",6,3
48551,"Children,Family,Medical",66,3
48552,"Children,Family,Medical",300,3
48553,"Children,Family,Medical",165,3
48554,"Children,Family,Medical",615,9
48555,"Children,Family,Medical",150,3
48556,"Children,Family,Medical",165,3
48557,"Children,Family,Medical",165,3
48558,"Children,Family,Medical",75,3
48559,"Children,Family,Medical",99,3
48560,"Children,Family,Medical",165,3
48561,"Children,Family,Medical",63,3
48562,"Children,Family,Medical",1560,15
48563,"Children,Family,Medical",1500,3
48564,"Children,Family,Medical",150,3
48565,"Children,Family,Medical",150,3
48566,"Children,Family,Medical",150,3
48567,"Children,Family,Medical",216,6
48568,"Children,Family,Medical",33,3
48569,"Children,Family,Medical",165,3
48570,"Children,Family,Medical",150,3
48571,"Children,Family,Medical",1296,6
48572,"Children,Family,Medical",82.5,3
